iter	Passed	Remaining
0	1	115
1	2	102
2	2	96
3	3	88
4	4	87
5	5	86
6	6	84
7	7	83
8	8	82
9	9	81
10	9	80
11	10	79
12	11	77
13	12	78
14	13	78
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	78	8
90	79	7
91	80	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
